r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
4,8,3577.0,25620,126450.0,1.8049397118527124,0.08023944723702767
8,12,5972.0,65779,323410.0,0.8141802217899876,0.051897307300279215
12,16,8514.0,122190,590223.0,0.37350384411360055,0.03929110802770616
16,20,12031.0,190792,910887.0,0.2273717122208384,0.03511078235543041
20,24,15392.0,266453,1267058.0,0.11292347477336455,0.031836821324741554
24,28,18366.0,348756,1647203.0,-0.00128572075060975,0.028569698441670295
28,32,22321.0,437367,2037102.0,-0.05029930098873451,0.027167592518039897
32,36,25541.0,522292,2427131.0,-0.09862630549349401,0.02578512710828535
36,40,27529.0,601711,2804971.0,-0.16282429902263906,0.023948648594063593
40,44,31971.0,674117,3154737.0,-0.12249032634434603,0.025102461511647453
44,48,36081.0,737084,3468473.0,-0.08389982808988121,0.02620639976581209
48,52,39842.0,792890,3741293.0,-0.05340971613006436,0.027078614494532523
52,56,42041.0,833856,3972348.0,-0.03985823621337311,0.02746627461184776
56,60,42879.0,863282,4140256.0,-0.048498676330051387,0.027219102048417168
60,64,45678.0,875957,4257825.0,0.016472906042213447,0.029077710215158148
64,68,47012.0,878237,4306514.0,0.05329785209134284,0.03013114223832409
68,72,45807.0,863369,4296887.0,0.05771153828877344,0.030257402257126993
72,76,42154.0,829686,4222784.0,0.03436361696311804,0.0295895004504009
76,80,39163.0,784546,4090196.0,0.04023394615318696,0.029757429895486687
80,84,35221.0,727188,3885422.0,0.03573182596447491,0.029628640091623738
84,88,29741.0,661167,3611358.0,-0.006501359185740945,0.028420497393514182
88,92,26246.0,590174,3266251.0,-0.002593630421727271,0.02853228375193455
92,96,21594.0,513988,2861549.0,-0.040858532409199275,0.02743765966034373
96,100,17569.0,430871,2401695.0,-0.06181775487255351,0.026838090115989206
100,104,14247.0,345248,1900826.0,-0.06608775636220382,0.02671594041067361
104,108,11927.0,268751,1464441.0,-0.01998710278002583,0.028034717760884943
108,112,10704.0,207951,1107236.0,0.089488749730636,0.031166436369359313
112,116,8738.0,156672,811198.0,0.1467586065506987,0.03280472529056763
116,120,6090.0,115120,575945.0,0.059533637010837734,0.030309526084834205
120,124,4134.0,79791,391362.0,0.018453536270935995,0.029134369070983844
124,128,2771.0,51186,251386.0,0.06711645710034381,0.03052644386381845
128,132,1662.0,31492,151937.0,0.022149160572714842,0.029240087867690032
132,136,729.0,17749,85706.0,-0.21953819809986697,0.02890599266296789
136,140,385.0,9229,45395.0,-0.18414074784586096,0.04158003764687585
140,144,208.0,4657,22936.0,-0.12272660180668765,0.06082796576512549
144,148,89.0,2107,11166.0,-0.0891738832933799,0.09654737527634427
