Slice center (h^-1 Mpc), Completeness
5.019256490124303127e+03,1.000000000000000000e+00
5.021256490124303127e+03,1.000000000000000000e+00
5.023256490124303127e+03,1.000000000000000000e+00
5.025256490124303127e+03,1.000000000000000000e+00
5.027256490124303127e+03,1.000000000000000000e+00
5.029256490124303127e+03,1.000000000000000000e+00
5.031256490124303127e+03,1.000000000000000000e+00
5.033256490124303127e+03,1.000000000000000000e+00
5.035256490124303127e+03,1.000000000000000000e+00
5.037256490124303127e+03,1.000000000000000000e+00
5.039256490124303127e+03,1.000000000000000000e+00
5.041256490124303127e+03,1.000000000000000000e+00
5.043256490124303127e+03,1.000000000000000000e+00
5.045256490124303127e+03,1.000000000000000000e+00
5.047256490124303127e+03,1.000000000000000000e+00
5.049256490124303127e+03,1.000000000000000000e+00
5.051256490124303127e+03,1.000000000000000000e+00
5.053256490124303127e+03,1.000000000000000000e+00
5.055256490124303127e+03,1.000000000000000000e+00
5.057256490124303127e+03,1.000000000000000000e+00
5.059256490124303127e+03,1.000000000000000000e+00
5.061256490124303127e+03,1.000000000000000000e+00
5.063256490124303127e+03,1.000000000000000000e+00
5.065256490124303127e+03,1.000000000000000000e+00
5.067256490124303127e+03,1.000000000000000000e+00
5.069256490124303127e+03,1.000000000000000000e+00
5.071256490124303127e+03,1.000000000000000000e+00
5.073256490124303127e+03,1.000000000000000000e+00
5.075256490124303127e+03,1.000000000000000000e+00
5.077256490124303127e+03,1.000000000000000000e+00
5.079256490124303127e+03,1.000000000000000000e+00
5.081256490124303127e+03,1.000000000000000000e+00
5.083256490124303127e+03,1.000000000000000000e+00
5.085256490124303127e+03,1.000000000000000000e+00
5.087256490124303127e+03,1.000000000000000000e+00
5.089256490124303127e+03,1.000000000000000000e+00
5.091256490124303127e+03,1.000000000000000000e+00
5.093256490124303127e+03,1.000000000000000000e+00
5.095256490124303127e+03,1.000000000000000000e+00
5.097256490124303127e+03,1.000000000000000000e+00
5.099256490124303127e+03,1.000000000000000000e+00
5.101256490124303127e+03,1.000000000000000000e+00
5.103256490124303127e+03,1.000000000000000000e+00
5.105256490124303127e+03,1.000000000000000000e+00
5.107256490124303127e+03,1.000000000000000000e+00
5.109256490124303127e+03,1.000000000000000000e+00
5.111256490124303127e+03,1.000000000000000000e+00
5.113256490124303127e+03,1.000000000000000000e+00
5.115256490124303127e+03,1.000000000000000000e+00
5.117256490124303127e+03,1.000000000000000000e+00
5.119256490124303127e+03,1.000000000000000000e+00
5.121256490124303127e+03,1.000000000000000000e+00
5.123256490124303127e+03,1.000000000000000000e+00
5.125256490124303127e+03,1.000000000000000000e+00
5.127256490124303127e+03,1.000000000000000000e+00
5.129256490124303127e+03,1.000000000000000000e+00
5.131256490124303127e+03,1.000000000000000000e+00
5.133256490124303127e+03,1.000000000000000000e+00
5.135256490124303127e+03,1.000000000000000000e+00
5.137256490124303127e+03,1.000000000000000000e+00
5.139256490124303127e+03,1.000000000000000000e+00
5.141256490124303127e+03,1.000000000000000000e+00
5.143256490124303127e+03,1.000000000000000000e+00
5.145256490124303127e+03,1.000000000000000000e+00
5.147256490124303127e+03,1.000000000000000000e+00
5.149256490124303127e+03,1.000000000000000000e+00
5.151256490124303127e+03,1.000000000000000000e+00
5.153256490124303127e+03,1.000000000000000000e+00
5.155256490124303127e+03,1.000000000000000000e+00
5.157256490124303127e+03,1.000000000000000000e+00
5.159256490124303127e+03,1.000000000000000000e+00
5.161256490124303127e+03,1.000000000000000000e+00
5.163256490124303127e+03,1.000000000000000000e+00
5.165256490124303127e+03,1.000000000000000000e+00
5.167256490124303127e+03,1.000000000000000000e+00
5.169256490124303127e+03,1.000000000000000000e+00
5.171256490124303127e+03,1.000000000000000000e+00
5.173256490124303127e+03,1.000000000000000000e+00
5.175256490124303127e+03,1.000000000000000000e+00
5.177256490124303127e+03,8.888888888888888395e-01
5.179256490124303127e+03,8.888888888888888395e-01
5.181256490124303127e+03,8.888888888888888395e-01
5.183256490124303127e+03,8.888888888888888395e-01
5.185256490124303127e+03,8.888888888888888395e-01
5.187256490124303127e+03,8.888888888888888395e-01
5.189256490124303127e+03,8.888888888888888395e-01
5.191256490124303127e+03,8.888888888888888395e-01
5.193256490124303127e+03,8.888888888888888395e-01
5.195256490124303127e+03,8.888888888888888395e-01
5.197256490124303127e+03,8.888888888888888395e-01
5.199256490124303127e+03,8.888888888888888395e-01
5.201256490124303127e+03,8.888888888888888395e-01
